問題文,解答,選択肢1,選択肢2,選択肢3,難易度
完全変態する昆虫は？,ハチ,カマキリ,トンボ,ハチ,4
和歌で、「神」という言葉を導き出す枕詞は？,ちはやぶる,ちはやぶる,ひさかたの,たまのおの,4
累進課税制度が適用されている税は？,所得税,固定資産税,法人税,所得税,2
陸上競技で、十種競技にあって七種競技にない投擲(とうてき)種目は？,円盤投げ,やり投げ,砲丸投げ,円盤投げ,5
日本の昔話『桃太郎』で、3番目に桃太郎のお供になったのは？,キジ,サル,キジ,イヌ,1
次のうち、一つだけ部首が異なるのはどれ？,全,今,全,介,4
夏目漱石の小説『坊ちゃん』で、主人公が赴任先の学校で担当した教科は？,数学,国語,数学,英語,4
首都圏に含まれ、関東地方に含まれないのは？,山梨県,群馬県,山梨県,神奈川県,4
讃岐の国の枕詞は？,たまもよし,たまもよし,ちはやぶる,たれちぬの,3
四字熟語「ぜったいぜつめい」を漢字で書くと？,絶体絶命,絶対絶命,絶体絶命,絶耐絶命,2
ウィーンはどこの国の首都？,オーストリア,ドイツ,トルコ,オーストリア,2
オタワはどこの国の首都？　,カナダ,カナダ,南アフリカ共和国,モンゴル,3
今年で100周年を迎えるのは次のうちどれ？,ディズニー,ポケモン,ディズニー,プリキュア,2
次のうち、最も全長が大きいサメの種類は？,ネズミザメ,イヌザメ,ネコザメ,ネズミザメ,5
『残響散歌』や『紅蓮華』などの曲が使用されたアニメシリーズは？,鬼滅の刃,呪術廻戦,鬼滅の刃,チェンソーマン,1
2021年の「今年の漢字」に選ばれたのは？,金,勤,金,菌,2
漢字一文字の名字のうち、現在最も人口が多いのは？,林,原,林,森,4
夏の大三角を構成する星のうち、はくちょう座の星は？,デネブ,ベガ,デネブ,アルタイル,4
その国旗が「メイプルリーフ」と呼ばれる国は？,カナダ,イギリス,ブラジル,カナダ,3
ゾロアスター教で神聖視されているのは？,火,火,牛,月,5
口語の助動詞で、「推量」の意味を持つのは？,う,べし,う,む,3
野菜のナスの花弁の色は？,紫色,黄色,白色,紫色,3
ドラえもんの好物はどら焼きですが、ドラミちゃんの好物は？,メロンパン,メロンパン,ドーナツ,カステラ,1
富士山が登録されているのは？,世界文化遺産,世界文化遺産,世界自然遺産,世界複合遺産,3
アルファベット順で、「K」の2つ後、「O」の2つ前は？,M,M,L,N,2
テレビのリモコンの4色ボタンのうち、一番左にあるのは？,青,赤,青,黄,3
割り算の答えを漢字一文字で表すと何？,商,賞,商,積,1
北大西洋条約機構をアルファベットで表すと？,NATO,KATO,NOSE,NATO,2
ドラえもんの身長は？,129.3cm,120.3cm,131.0cm,129.3cm,2
四国の中で一番人口が多い県庁所在地はどこ？,松山市,高松市,松山市,徳島市,3
高松空港は高松市の何町にある？,香南町,三条町,春日町,香南町,3
東海道新幹線と山陽新幹線の境目の駅は？,新大阪駅,京都駅,新大阪駅,岡山駅,3
JR丸亀駅から1駅西にある駅は？,讃岐塩屋駅,多度津駅,讃岐塩屋駅,宇多津駅,2
「水がこぼれる」を意味する香川の方言は？,水がまける,水があばれる,水がまける,水がかつ,1
山手線の駅数は？,30,20,40,30,4
日本で最も利用客数が多い駅は？,新宿駅,東京駅,新宿駅,大阪梅田駅  (阪急),4
瀬戸大橋は今年で開通何周年？,35年,30年,40年,35年,2
岡山行の快速マリンライナーが坂出駅を出て始めに''通過する''駅は？,宇多津駅,植松駅,上の町駅,宇多津駅,5
北海道の東側に流れる海流は？,千島海流,千島海流,日本海流,リマン海流,3
高松空港で''発着しない''航空会社は？,ソラシドエア,ジェットスタージャパン,エアソウル,ソラシドエア,3
2006年に三豊市はいくつの町が合わさってできた？,7,5,6,7,4
現在の観音寺市は旧観音寺市と大野原町と何町が合併してできた？,豊浜町,豊中町,山本町,豊浜町,3
三豊市役所はどこにある？,高瀬町,詫間町,高瀬町,豊中町,4
地下一階を「B1」と表記するがこの「B」は何の略？,Basement,Basefloor,Basement,Basetime,4
仲多度郡に属する町は多度津町と琴平町とどこ？,まんのう町,綾川町,財田町,まんのう町,3
'現在''、綾歌郡に属する町は宇多津町とどこ？,綾川町,綾歌町,綾川町,まんのう町,3
「伊藤博文」の読み方は？,いとうひろぶみ,いとうひろふみ,いとうはくぶん,いとうひろぶみ,3
黄色い大根を使った漬物はどれ？,たくあん漬け,柴漬け,たくあん漬け,ぬか漬け,1
香川県にある国宝の数は？,2,7,2,0,5
日本の各都道府県数は？,1都1道2府43県,1都1道1府44県,1都1道2府43県,1都1道3府42県,1
北関東の3県は西からどの並び？,群馬県、栃木県、茨城県,栃木県、群馬県、茨城県,茨城県、群馬県、栃木県,群馬県、栃木県、茨城県,2
茨城県の県庁所在地は？,水戸市,ひたちなか市,水戸市,茨木市,1
群馬県の県庁所在地は？,前橋市,前橋市,高崎市,宇都宮市,1
栃木県の県庁所在地は？,宇都宮市,栃木市,宇都宮市,日光市,1
沖縄県の県庁所在地は？,那覇市,那覇市,沖縄市,名護市,1
栗林公園の最寄り駅は？,栗林公園北口駅　(JR),栗林駅　(JR),栗林公園駅　(ことでん),栗林公園北口駅　(JR),4
東京ディズニーランドの最寄り駅は？,JR舞浜駅,JR海浜幕張駅,JR東京ディズニーランド駅,JR舞浜駅,3
東北地方の太平洋側に夏に吹き、冷害をもたらす冷たい風は？,やませ,からっ風,偏西風,やませ,2
昨年開業した新幹線は？,西九州新幹線,東九州新幹線,四国新幹線,西九州新幹線,3
金沢～敦賀の北陸新幹線の開業予定日は？,2024/3/16,2024/1/13,2024/3/16,2024/6/24,5
丸亀製麵の香川県内の唯一の1店舗はどこにある？,高松市,高松市,観音寺市,丸亀市,3
県内の公立高校の数は？(現在存在する校),30校,27校,30校,38校,4
瀬戸大橋の高速道路の名前は？,瀬戸中央自動車道,瀬戸大橋自動車道,瀬戸中央自動車道,坂出自動車道,2
アインシュタインが「人類最大の発明」と呼んだのは？,複利,税金,債券,複利,5
『ラッキーストライク!』『パンチアウト』などの漫画が題材にしているスポーツは？,ボウリング,ボクシング,ボウリング,サッカー,3
横の幅が最も大きいお札は？,一万円札,千円札,五千円札,一万円札,3
世界三大珍味のうち、キノコ類の食べ物は？,トリュフ,キャビア,フォアグラ,トリュフ,3
イネは何科の植物？,イネ科,イノシシ科,イネ科,コメ科,3
日本三大奇書のうち、小栗虫太郎の著作は？,黒死館殺人事件,ドグラマグラ,黒死館殺人事件,虚無への供物,5
童謡『やまのおんがくか』で、ことりが演奏しているのは？,フルート,クラリネット,オーボエ,フルート,1
季語がまとめられている書物は？,歳時記,歳時記,風土記,古事記,2
2019年度まで唯一黒字だったJR四国の路線は？,本四備讃線(瀬戸大橋線),予讃線,土讃線,本四備讃線(瀬戸大橋線),4
16両編成の新幹線が走っている路線は？,東海道新幹線,九州新幹線,東海道新幹線,北海道新幹線,3
日本が初めて参加したオリンピックの開催地は？,ストックホルム,アテネ,ベルリン,ストックホルム,5
映える写真が撮れることで有名な「父母ヶ浜」の所在地は？,三豊市仁尾町,三豊市詫間町,三豊市仁尾町,観音寺市有明町,3
江戸幕府の始祖はだれ？,徳川家康,徳川家康,徳川家光,織田信長,2
漢字の部首で最も画数が多い部首は？,やくのふえ,においざけ,たつ,やくのふえ,5
東京でオリンピックは何回開催された？,2回,1回,2回,3回,1
香川県の県の花は？,オリーブ,オリーブ,アジサイ,マーガレット,2
「今日ははやく起きた。」この場合の正しい「はやく」の漢字は？,早く,速く,早く,疾く,2
日本アルプスの三つの山脈に当てはまらない山脈は？,奥羽山脈,飛騨山脈,奥羽山脈,木曽山脈,3
次のうち干支に含まれるのは？,とら,チーター,とら,ライオン,1
右の一画目は？,ノ,一,ノ,I,2
アメリカの首都「ワシントンD.C.」の「C」が表す国は？,コロンビア,チリ,コロンビア,コスタリカ,3
ドラえもんの作者は？,藤子・F・不二雄,手塚治虫,ゴムドリco,藤子・F・不二雄,1
IQが上位2％以上の人が参加可能な国際グループの名称は？,メンサ,オンサ,ファンサ,メンサ,4
漫画『ドラえもん』で、登場回数が2番目に多いひみつ道具は？,タイムマシン,タケコプター,どこでもドア,タイムマシン,3
北海道は香川県より何倍大きい？,約50倍,約20倍,約50倍,約100倍,4
韓国と日本の時差は何時間？,0時間,0時間,1時間,2時間,3
「冬将軍」の語源となった人物は？,ナポレオン,徳川家康,チンギス・ハン,ナポレオン,3
日本の面積は世界何位？,61位,61位,98位,152位,3
欧文モールス信号で、短点3つ「・・・」で表されるのは？,S,S,E,O,5
日本の国蝶は何？,オオムラサキ,オオムラサキ,ミドリシジミ,カラスアゲハ,4
日本の国鳥は何？,キジ,ツル,ホトトギス,キジ,4
日本最南端の島は？,沖ノ鳥島,南鳥島,沖ノ鳥島,与那国島,3
世界で三番目に高い山が属す山脈は？,ヒマラヤ山脈,ロッキー山脈,アンデス山脈,ヒマラヤ山脈,4
日本で三番目に多い苗字は何か？,高橋,田中,高橋,伊藤,3
庄内平野がある県は？,山形県,秋田県,山形県,新潟県,2
絶滅危惧種でないものはどれか？,ニホンカワウソ,ハヤブサ,ジュゴン,ニホンカワウソ,4
オリンピックで「入賞」と呼ばれるのは？,8位以上,3位以上,8位以上,12位以上,2
日本の都道府県で、名前に「島」が付くのは？,5つ,3つ,4つ,5つ,4
漢字では「蛩」などと表記され、「コロコロコロ」と鳴く秋の虫は？,コオロギ,コオロギ,キリギリス,スズムシ,2
黄金比はどれ？,1:1.618,1:2:√3,1:1+√2,1:1.618,5
古代メソポタミアの伝説的な王で祖先の英雄という意味の王の名前は？,ギルガメッシュ,イスカンダル,ギルガメッシュ,エンキデュ,5
埼玉県の県庁所在地は？,さいたま市,さいたま市,大宮市,埼玉市,2
童話『シンデレラ』で、魔法で馬車に変えられた野菜は？,カボチャ,カブ,ジャガイモ,カボチャ,1
ポテトの英語の綴りは？,potato,poteto,pototo,potato,1
